               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.017845,            0.011923,           0.0029553,            0.080503,             0.86103,            0.098702,            0.056449,            0.019575,            0.010609,             0.12253,            0.003928,            0.003928,            0.003928
                  94,            0.017628,            0.011712,           0.0020331,            0.087117,             0.82135,             0.11125,            0.062013,             0.02002,            0.011689,             0.12057,            0.003862,            0.003862,            0.003862
                  95,            0.017224,            0.011677,           0.0017641,            0.083876,             0.80271,             0.10162,            0.055362,            0.020206,            0.011914,             0.12325,            0.003796,            0.003796,            0.003796
                  96,            0.015735,            0.011747,           0.0022606,            0.086309,             0.84954,             0.11002,            0.060505,            0.020015,            0.011382,             0.12292,             0.00373,             0.00373,             0.00373
                  97,             0.01747,            0.012179,           0.0026303,             0.10044,             0.83326,             0.12101,            0.070711,            0.019456,            0.011437,             0.11921,            0.003664,            0.003664,            0.003664
                  98,             0.01515,            0.011366,           0.0020893,            0.090244,             0.82136,              0.1094,             0.06216,              0.0204,            0.011472,             0.12025,            0.003598,            0.003598,            0.003598
                  99,            0.017214,            0.011768,           0.0022874,            0.079741,             0.82463,            0.099281,            0.053353,            0.020384,            0.011597,             0.12298,            0.003532,            0.003532,            0.003532
                 100,            0.016016,            0.011709,           0.0017612,            0.087484,             0.82466,              0.1024,            0.054103,             0.02078,            0.011184,             0.12403,            0.003466,            0.003466,            0.003466
                 101,            0.016283,             0.01173,             0.00167,            0.087881,             0.86511,             0.10962,            0.060688,            0.020239,            0.011231,             0.12456,              0.0034,              0.0034,              0.0034
                 102,             0.01493,            0.011171,           0.0013362,            0.079415,             0.82912,             0.11199,            0.059372,            0.020849,            0.011365,             0.12411,            0.003334,            0.003334,            0.003334
                 103,            0.017122,            0.011241,            0.001824,             0.07833,             0.81194,             0.10696,            0.057249,            0.019699,            0.011455,             0.12516,            0.003268,            0.003268,            0.003268
